,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,
359,All,,,,,,,,,,,,,,,,,,,,,,,,,
360,All,,,,,,,,,,,,,,,,,,,,,,,,,
361,All,,,,,,,,,,,,,,,,,,,,,,,,,
362,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
363,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,,
364,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
365,All,,,,,,,,,,,,,,,,,,,,,,,,,
366,All,,,,,,,,,,,,,,,,,,,,,,,,,
367,All,,,,,,,,,,,,,,,,,,,,,,,,,
368,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
369,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
370,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
371,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
372,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
373,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
374,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
375,Right turn,,,,,,,,,,,,,,,,,,,,,,,,,
376,Right turn,,,,,,,,,,,,,,,,,,,,,,,,,
377,All,,,,,,,,,,,,,,,,,,,,,,,,,
378,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
379,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
380,Vehicle/bicycle,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,
381,All,,,,,,,,,,,,,,,,,,,,,,,,,
382,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
383,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
384,Vehicle/bicycle,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,
385,Angle,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,
386,Nighttime,,,,,,,,,,,,,,,,,,,,,,,,,
387,Left turn,,,,,,,,,,,,,,,,,,,,,,,,,
388,All,,,,,,,,,,,,,,,,,,,,,,,,,
389,Left turn,Other,,,,,,,,,,,,,,,,,,,,,,,,
390,All,,,,,,,,,,,,,,,,,,,,,,,,,
391,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
392,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
393,All,,,,,,,,,,,,,,,,,,,,,,,,,
394,All,,,,,,,,,,,,,,,,,,,,,,,,,
395,All,,,,,,,,,,,,,,,,,,,,,,,,,
396,All,,,,,,,,,,,,,,,,,,,,,,,,,
397,All,,,,,,,,,,,,,,,,,,,,,,,,,
398,All,,,,,,,,,,,,,,,,,,,,,,,,,
399,All,,,,,,,,,,,,,,,,,,,,,,,,,
400,All,,,,,,,,,,,,,,,,,,,,,,,,,
401,All,,,,,,,,,,,,,,,,,,,,,,,,,
402,All,,,,,,,,,,,,,,,,,,,,,,,,,
403,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
404,Speed related,,,,,,,,,,,,,,,,,,,,,,,,,
